"species","w_max","w_mat","a","b"
"Herring",304,123,0.00562340999022126,3.08999991416931
"Sprat",47,7.8,0.00549540994688869,3.08999991416931
"Cod",42529,2858,0.00691831018775702,3.07999992370605
"Haddock",5580,503,0.00660692993551493,3.07999992370605
"Whiting",2561.4706802267,106.193718606109,0.0063095698133111,3.04999995231628
"Blue whiting",599.822114221685,64.7790075563038,0.00416869018226862,3.11999988555908
"Norway Pout",327.22624792598,47.2834948781584,0.00616595009341836,3.05999994277954
"European Hake",21438,257,0.00478630000725389,3.10999989509583
"Horse Mackerel",679,93,0.00831764005124569,2.95000004768372
"Mackerel",1782.96397418255,141.25432450968,0.00645653996616602,3.05999994277954
"Plaice",3362,287,0.00812830030918121,3.04999995231628
"Megrim",1376.96891711807,88.0520969607193,0.00478630000725389,3.0699999332428
"Sole",1910.28782383851,135.855672220164,0.00758578022941947,3.04999995231628
